id,sd_listener_role,sd_situation,sd_speaker_role,sd_utterance,sl_plutchik_primary_Anna,sl_plutchik_primary_Peter,sl_plutchik_primary_Abhigya,gold_standard,sl_v_Anna,sl_v_Peter,sl_v_Abhigya,sl_a_Anna,sl_a_Peter,sl_a_Abhigya,sl_d_Anna,sl_d_Peter,sl_d_Abhigya,sl_confidence_Anna,sl_confidence_Peter,sl_confidence_Abhigya,Notes
13,manager,After you stayed late helping to prepare materials assigned to you at the last minute. Your manager skims them quickly and replies with a curt comment about timing. You respond the next morning.,you,"Next time, please give me a bit more notice.",trust,trust,anger,trust,mildly unpleasant,mildly pleasant,unpleasant,excited,slightly calm,slightly excited,controlled,in control,slightly in control,mildly unsure,mildly confident,confident,"- Abhigya AND Peter (counting as all)
- BUT I think both make some sense"
18,sister,You're on a video call with your younger sister. She just finished telling you she's anxious about an upcoming interview and has been pacing. You waited a beat before replying.,you,"You're doing fine. It's really important, but try not to overthink it.",trust,fear,fear,fear,neutral,neutral,unpleasant,very calm,slightly excited,excited,in control,slightly controlled,controlled,neutral,mildly confident,unsure,"- Anna
- BUT makes sense if she viewed the sentence as net reassuring"
21,younger brother,Your younger brother is about to give a short speech at a family event. You missed most of his rehearsals because of work and only text him from the car right before he goes on stage.,you,"Try to stay relaxed, this is an importat event!",anger,fear,fear,fear,unpleasant,mildly unpleasant,unpleasant,slightly excited,excited,very excited,neutral,slightly controlled,controlled,neutral,confident,unsure,
23,you,"After a fight, your cousin has been distant for weeks and hasn't visited. They send a short message offering you a way back in.",cousin,"If you ever want to come by, the door may be open.",surprise,joy,anticipation,surprise,mildly pleasant,mildly pleasant,pleasant,excited,slightly calm,neutral,controlled,neutral,slightly in control,neutral,mildly confident,neutral,"- All disagree
- BUT they all agree on the valence"
33,adult child,"A 23-year-old adult child texts their parent at 2:15 AM after a rough day at work. The parent often responds quickly when worried but has also been short tempered lately, claiming to be exhausted from extra shifts.",mother,"You're doing fine, just call me if you need anything.",surprise,trust,sadness,surprise,neutral,mildly pleasant,very unpleasant,slightly excited,neutral,calm,slightly in control,neutral,controlled,unsure,mildly confident,unsure,"- All disagree
- In particular Abhigya viewed it as unpleasant"
46,you,"A mentor, who often defends and helps you, responded after a late-night review of your work.",mentor,"That was sloppy. Please fix before our next meeting, and keep up the good work.",surprise,fear,surprise,surprise,unpleasant,mildly unpleasant,mildly unpleasant,excited,neutral,slightly excited,slightly controlled,controlled,slightly controlled,neutral,mildly confident,mildly unsure,
48,romantic friend,"A friend you've been seeing casually texts you late, asking if you still want to keep seeing them romantically. You had been slow to reply all week and missed a call earlier.",you,"Lol, seriously?",sadness,anger,sadness,sadness,very unpleasant,unpleasant,very unpleasant,excited,slightly excited,neutral,controlled,neutral,controlled,mildly confident,confident,very unsure,"- Peter
- BUT all agree on valence"
51,friend,You've been checking in with a friend all week about their horrible dating experiences. They text you late one night after a terrible date. You've offered help before but have started to feel worn out by repeating yourself.,you,Can't talk right now. Check my previous text advice. And don't go changing for anyone.,surprise,anger,sadness,surprise,mildly unpleasant,mildly unpleasant,very unpleasant,slightly excited,slightly excited,calm,slightly in control,neutral,controlled,neutral,confident,unsure,"- All disagree
- BUT all agree on valence"
52,friend,"You spent hours helping a close friend redo their dating profile and even stayed late to give feedback. Shortly after, you see they post something reckless and you reply quickly with a sharp line.",you,Be original but don't be weird. Get it together or people might ghost you.,fear,sadness,sadness,sadness,unpleasant,unpleasant,unpleasant,slightly excited,slightly calm,slightly calm,neutral,slightly controlled,controlled,mildly unsure,confident,unsure,
54,you,On Slack a teammate sends a private late-night message after you missed a minor deadline. Earlier that day they'd been terse in the thread and haven't offered help.,teammate,"I'm happy to help, but you've got to learn how to fix these types of problems by yourself.",anger,fear,anger,anger,mildly unpleasant,mildly unpleasant,unpleasant,slightly excited,slightly excited,slightly excited,slightly controlled,slightly controlled,controlled,neutral,mildly confident,mildly unsure,
