id,sd_listener_role,sd_situation,sd_speaker_role,sd_utterance,sl_plutchik_primary_Godwin,sl_plutchik_primary_Eli,sl_plutchik_primary_Adrian,gold_standard,sl_v_Godwin,sl_v_Eli,sl_v_Adrian,sl_a_Godwin,sl_a_Eli,sl_a_Adrian,sl_d_Godwin,sl_d_Eli,sl_d_Adrian,sl_confidence_Godwin,sl_confidence_Eli,sl_confidence_Adrian,Notes
15,engineering manager,A junior developer is responding to their manager after being asked to handle another round of weekend QA. The junior has been given disproportionate weekend work compared with more senior colleagues over several cycles.,junior developer,"Sure, I'll take care of the extra QA this weekend, don't worry about me; I know you have more important things to do.",surprise,surprise,trust,surprise,mildly pleasant,mildly unpleasant,mildly pleasant,neutral,neutral,neutral,slightly in control,very controlled,slightly in control,confident,mildly unsure,confident,
17,senior analyst,A junior analyst posts a reply in a team thread after a senior analyst provided detailed critiques and requested last-minute changes to a report that was already reviewed. The team has a history of late edits from that senior analyst.,junior analyst,"Thanks for the notes, I'll make the edits, and hopefully next time we can avoid so many last-minute changes.",anger,surprise,surprise,surprise,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,neutral,in control,in control,in control,mildly unsure,mildly unsure,confident,
18,younger sibling,You and your sibling usually trade cooking and chores. Lately they cancel plans and expect you to cover evenings. Tonight they say they need to head out with friends right before dinner.,You,"Oh, it's fine go ahead and go; I can make dinner again, don't worry about me.",sadness,surprise,joy,sadness,mildly unpleasant,mildly unpleasant,neutral,neutral,neutral,calm,slightly controlled,slightly in control,slightly controlled,mildly confident,mildly confident,confident,
21,younger sibling,"Two adult siblings coordinate driving their elderly parent to a mid-morning medical appointment. The younger sibling texts that they'll be a bit late because of work, and the older sibling, who has done most of the rides lately, replies immediately.",older sibling,"Oh, that's fine take as long as you need. I’ve got all the time in the world like always.",surprise,surprise,disgust,surprise,mildly unpleasant,unpleasant,pleasant,slightly calm,slightly calm,calm,slightly controlled,slightly controlled,very in control,mildly unsure,mildly unsure,confident,
27,teenage child,A mother notices her teenage child's socks and a few small messes have been put away after weeks of reminders about chores. The household has a history of the teen doing the minimum and the parent repeatedly nagging.,mother,"You actually put your socks in the hamper, how civilized of you.",anger,anger,sadness,anger,unpleasant,unpleasant,unpleasant,slightly calm,slightly calm,neutral,slightly controlled,slightly in control,controlled,mildly confident,mildly confident,very confident,
28,adult chlid,A father learns his adult child skipped another family dinner. This is the third time in a row the child has missed an important family occasion. The family has a history of the parent minimizing conflict to keep family peace.,father,It's really okay that you couldn't make Mom's birthday again; we managed fine without you.,sadness,sadness,surprise,sadness,unpleasant,unpleasant,mildly unpleasant,slightly calm,slightly calm,neutral,neutral,neutral,in control,mildly unsure,mildly unsure,confident,
35,father,"At a family holiday, a younger daughter is repeatedly overlooked while her father praises an older siblings going around telling the family what they've been doing. When asked if she's okay with being ignored, the younger daughter answers calmly.",younger daughter,"Of course, why would he ever care about me.",sadness,sadness,sadness,sadness,unpleasant,unpleasant,very unpleasant,slightly calm,slightly calm,excited,controlled,controlled,controlled,mildly confident,neutral,very confident,
39,friend,"You lent a favorite jacket to a close friend for a concert; they returned it with a faint wine stain and the sleeve a bit stretched. This isn't the first time they've been careless with your things, and you haven't directly complained before.",you,"Thanks for bringing my jacket back, its almost like new.",surprise,anticipation,surprise,surprise,unpleasant,unpleasant,mildly unpleasant,slightly calm,slightly calm,slightly excited,neutral,neutral,very controlled,neutral,neutral,confident,
40,friend,You and a friend have been organizing a small get-together. Your friend promised to bring pastries but forgot and messaged last-minute. You've been handling most logistics lately and are quietly frustrated but don't want a full argument before guests arrive.,you,"Don't worry about the pastries, I can just take care of it with everything else.",surprise,surprise,anticipation,surprise,mildly unpleasant,mildly unpleasant,mildly unpleasant,slightly calm,slightly calm,slightly calm,slightly controlled,slightly controlled,slightly controlled,mildly confident,mildly confident,confident,
41,dating partner,"You've been dating casually; the other person has canceled plans three times in the past month for similar reasons. They cancel again tonight, saying they have to work late. You're disappointed but trying not to seem clingy.",you,"Alright, whatever works for you, you let me know if you ever want to meet up.",sadness,anticipation,anticipation,anticipation,unpleasant,unpleasant,mildly unpleasant,slightly calm,slightly calm,slightly excited,very controlled,very controlled,in control,mildly confident,mildly confident,very confident,
45,younger friend  ,"You and a younger friend meet after your friend got a very different, edgy haircut you had no idea about. You previously joked about how they always change styles without thinking. You're sitting in a cafe and your friend asks what you think of their new edgy haircut.",you,It actually kind of suits you.,anticipation,joy,joy,joy,very pleasant,very pleasant,very pleasant,slightly excited,slightly excited,excited,neutral,neutral,neutral,confident,confident,very confident,
46,forgetful partner,"You planned a small anniversary dinner with your partner, but they forgot and spent the evening with friends. Your partner apologized the next day. You are both tired and still living in the same place, so direct confrontation would escalate things.",you,"It's totally fine. Don't worry about it, I'm glad you had a nice night.",sadness,trust,trust,trust,mildly pleasant,mildly pleasant,mildly pleasant,slightly calm,slightly calm,excited,controlled,controlled,neutral,mildly unsure,mildly unsure,confident,
47,new friend,"You have often been the one to rearrange plans with your old friend group when a newer member joins and tends to cancel last minute. After the new friend cancels again citing 'unexpected work stuff,' you message them while organizing the week.",you,No problem at all. Text me when you're free next and I'll find a time that works for you.,joy,surprise,joy,joy,pleasant ,unpleasant,pleasant,slightly calm,slightly calm,neutral,neutral,neutral,in control,confident,confident,very confident,
52,friend,You and a friend had plans to go out. Your friend (who usually calls the shots socially) cancels last minute yet again. You respond when they apologize.,you,"It's fine, don't worry about it. I'm happy to stay in again.",sadness,anticipation,trust,sadness,unpleasant,unpleasant,mildly pleasant,slightly calm,slightly calm,neutral,slightly controlled,slightly controlled,in control,confident,confident,confident,
57,teammate  ,In a team Slack channel for a peer software project. A teammate who has missed several deadlines just posted a late-but-working patch fix and a short summary of what they changed.,you,"Nice, it actually works. ",anger,anger,disgust,anger,unpleasant,unpleasant,unpleasant,neutral,neutral,excited,neutral,neutral,neutral,confident,confident,confident,
64,adult child,In a family group chat a parent responds to an adult child's message about not wanting to travel for a holiday. The parent has been disappointed by the child's choices before.,parent,"No worries, if it's easier for you not to come then that's fine.",sadness,sadness,sadness,sadness,unpleasant,unpleasant,unpleasant,neutral,neutral,excited,slightly controlled,slightly controlled,controlled,neutral,neutral,very confident,
81,engineer,"After several missed deadlines, a manager gives brief feedback in a one-on-one after the employee's project presentation.",manager,"Nice presentation, for once you met the deadline.",sadness,anticipation,anticipation,anticipation,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,neutral,very in control,very in control,slightly controlled,neutral,neutral,very confident,
82,engineer,"A team lead replies to an engineer who frequently misses morning meetings and turns in partial updates, sending a short message after another late check-in.",team_lead,"No worries, whenever you're ready send the update; I know your mornings can be tough.",surprise,anger,surprise,surprise,unpleasant,unpleasant,mildly pleasant,neutral,neutral,neutral,in control,in control,in control,mildly confident,mildly confident,confident,
83,employee,"After an employee admits they overlooked an important requirement, a director responds during a quick check-in.",director,Thanks for letting me know. That's really helpful. I'll rearrange my entire schedule to fit this in.,surprise,surprise,surprise,surprise,unpleasant,unpleasant,neutral,neutral,neutral,neutral,in control,in control,in control,confident,confident,confident,
87,junior analyst,During the weekly status meeting a manger sits through a junior analyst's presentation that was obviously hastily updated the night before. Afterward the junior analyst asks for feedback in front of the team.,manager,Well you must have pounded that out quickly. Well done.,surprise,anger,surprise,surprise,very unpleasant,very unpleasant,unpleasant,neutral,neutral,excited,very in control,very in control,in control,very confident,very confident,confident,
88,team lead,A team lead assigns an urgent deliverable late Friday. An associate who already planned personal commitments replies immediately in the group chat.,associate,No problem. I can live in the office this weekend if that helps.,anger,anger,trust,anger,unpleasant,unpleasant,very pleasant,neutral,neutral,slightly calm,slightly controlled,slightly controlled,neutral,confident,confident,very confident,
89,manager,A project coordinator had an approved day off but their manager asks them to cover a client call. The coordinator responds in person before leaving for the day.,project coordinator,"As you know I have my trip scheduled for today, so it will depend on flight wifi. ",anger,anger,surprise,anger,mildly unpleasant,mildly unpleasant,neutral,neutral,neutral,neutral,slightly in control,slightly in control,neutral,confident,confident,very confident,
